term_str,n,max_pos
10,1,VB
10th,1,NN
12th,1,NN
16,1,NN
1742,1,NN
1884,1,NN
200,1,NN
300,1,NN
34,1,NN
4th,1,NN
500,1,NN
55,1,NN
60s,1,NN
7th,1,NN
80s,1,NN
83,1,NN
84,1,NN
85,2,NN
87,1,NN
9th,1,NN
a,38,NN
aback,1,NN
abandon,6,VB
abductor,1,NN
abide,1,VB
abilities,2,NN
ability,7,NN
abjure,1,VB
aboard,1,NN
abode,6,NN
abomination,1,NN
about,15,NN
above,5,NN
abovethe,1,NN
abroad,2,NN
abrupt,1,VB
abruptly,3,NN
abruptness,1,NN
absence,19,NN
absencea,1,NN
absent,4,NN
absentee,1,NN
absentees,1,NN
absolute,9,NN
absolutely,5,NN
absorb,2,VB
absorbed,2,NN
absorbing,1,NN
absorption,1,NN
abstainers,1,NN
abstraction,1,NN
abstruse,2,NN
absurd,1,NN
absurdity,1,NN
abuse,1,VB
abyss,3,NN
ac,1,NN
accent,10,NN
accept,11,VB
acceptance,1,NN
access,3,NN
accessories,1,NN
accessory,3,NN
accident,13,NN
accommodate,3,VB
accommodating,1,NN
accompany,4,VB
accompli,1,NN
accomplice,8,NN
accomplices,1,NN
accomplish,1,NN
accomplishment,2,NN
accomplishments,2,NN
accord,2,NN
accordance,3,NN
accordingly,3,NN
account,90,NN
accountant,1,NN
accounts,3,NN
accumulation,1,NN
accuracy,2,NN
accurate,2,NN
accusation,1,NN
accused,1,NN
accuser,1,NN
accustomed,1,NN
acetones,1,NN
acid,4,NN
acids,1,NN
acknowledge,8,VB
acknowledges,1,VB
acquaintance,36,NN
acquiesce,1,VB
acquiesced,1,VB
acquire,3,VB
acquirement,1,NN
acquittal,1,NN
acres,1,NN
across,9,NN
act,35,VB
acted,1,NN
acting,1,NN
action,39,NN
actionable,2,NN
actions,3,NN
active,1,NN
activity,5,NN
actor,4,NN
actress,2,NN
acts,1,NN
acushla,3,NN
acute,3,NN
acuteness,1,NN
adapt,1,VB
add,13,VB
adder,1,NN
addition,5,NN
address,66,NN
addresses,2,NN
adequate,1,NN
adieu,1,NN
adjective,1,NN
adjectives,1,NN
adjoining,1,NN
admeet,1,NN
administration,3,NN
administrator,1,NN
admirably,1,NN
admiration,16,NN
admire,2,VB
admirer,1,NN
admission,2,NN
admit,11,VB
admonish,1,VB
ado,2,NN
adopt,3,VB
adorn,1,VB
adp,1,NN
adult,1,NN
advance,14,NN
advancement,1,NN
advantage,32,NN
advantages,2,NN
advent,1,NN
adventure,21,NN
adventurer,1,NN
adventures,9,NN
advertise,4,VB
advertisement,36,NN
advertisementhow,1,NN
advertising,2,NN
advice,57,NN
advisability,2,NN
advise,15,VB
adviser,3,NN
advocate,1,NN
affably,2,NN
affair,65,NN
affaire,1,NN
affairs,12,NN
affect,4,VB
affectation,2,NN
affected,1,NN
affection,9,NN
affectionate,2,NN
affections,1,NN
affirmative,1,NN
affliction,2,NN
afford,8,VB
afoot,1,NN
afore,1,NN
afraid,7,NN
afresh,1,NN
aft,1,NN
after,14,NN
afternoon,40,NN
afterwards,15,VB
again,109,NN
against,2,NN
againyou,1,NN
agates,1,NN
age,41,NN
aged,4,NN
agencies,2,NN
agency,8,NN
agenda,3,NN
agent,21,NN
agents,2,NN
aggregate,2,NN
aghast,1,NN
agile,1,NN
agitated,1,VB
agitation,15,NN
ago,9,NN
agonized,1,NN
agonizing,1,NN
agony,12,NN
agree,12,VB
agreed,2,NN
agreement,5,NN
agricultural,1,NN
ague,1,NN
ah,71,NN
ahead,2,NN
aid,22,NN
aim,2,NN
aimless,1,NN
aint,3,NN
air,97,NN
airhis,1,NN
airily,1,NN
airor,1,NN
airy,2,NN
ajar,1,NN
akin,1,NN
alarm,36,NN
alas,3,NN
alert,6,NN
alertness,2,NN
alias,1,NN
alibi,1,NN
alice,1,NN
alien,1,NN
alighting,2,NN
alive,10,NN
alkali,4,NN
alkaloid,5,NN
all,144,NN
allay,1,VB
alley,7,NN
alliance,2,NN
allotment,1,NN
allow,29,VB
allowance,6,NN
allowed,1,NN
alluded,1,NN
allusion,8,NN
ally,8,NN
almanac,3,NN
almighty,1,NN
almoner,1,NN
almost,1,NN
alone,26,NN
along,14,NN
aloof,1,NN
aloud,7,NN
already,10,NN
also,27,NN
alsobut,1,NN
altar,6,NN
alter,1,VB
alteration,2,NN
alterations,1,NN
altercation,4,NN
altered,1,NN
alternate,2,NN
alternation,1,NN
alternative,7,NN
alternatives,1,NN
although,1,NN
altogether,6,NN
aluminium,2,NN
always,4,NN
am,4,NN
amalgam,1,NN
amass,1,VB
amateur,6,NN
amaze,2,VB
amazed,1,NN
amazement,28,NN
ambassador,1,NN
amber,5,NN
ambition,2,NN
ambuscade,1,NN
ambush,1,NN
amen,1,NN
amendment,1,NN
america,1,VB
american,3,NN
ames,2,NN
amethyst,1,NN
amiabilities,1,NN
amiability,1,NN
amiable,2,NN
amiss,2,NN
ammonia,1,NN
ammunition,1,NN
amnesty,1,NN
amongst,1,VB
amount,14,NN
ample,3,NN
amuse,4,VB
amused,1,NN
amusement,14,NN
amyl,1,NN
an,8,NN
analysis,14,NN
analytically,2,NN
analyze,1,VB
anatomy,3,NN
ancestor,2,NN
ancestors,2,NN
ancestry,1,NN
anchor,1,NN
ancient,4,NN
and,304,NN
andwell,1,NN
anecdote,2,NN
aneurism,4,NN
angel,2,NN
angels,1,NN
anger,24,NN
angle,15,NN
angles,1,NN
angrily,3,NN
angry,1,NN
anguish,1,VB
angular,1,NN
animal,17,NN
animals,4,NN
animation,1,NN
ankles,1,NN
annals,3,NN
annihilation,1,NN
announce,2,VB
announcement,6,NN
annoy,2,VB
annoyance,7,NN
annuity,1,NN
anomaly,1,NN
another,26,NN
answer,92,NN
answerable,1,NN
answered,45,NN
answering,1,NN
answers,2,NN
antagonist,4,NN
antecedents,3,NN
antennae,1,NN
anteroom,1,NN
anticipate,1,VB
anticipation,3,NN
antimacassar,2,NN
antipathy,1,NN
antiquarian,1,NN
antiquity,1,NN
anxieties,1,NN
anxiety,15,NN
anxiously,2,NN
any,5,NN
anybody,4,NN
anyhow,17,NN
anyone,69,NN
